type_code,census_blockgroup,lang_match
798,60750401001,no_match
799,60750401002,no_match
800,60750401003,cantonese
801,60750401003,no_match
802,60750401004,no_match
803,60750402001,no_match
804,60750402001,spanish
805,60750402002,cantonese
806,60750402002,no_match
807,60750402003,cantonese
808,60750402003,no_match
809,60750402004,no_match
810,60750426011,cantonese
811,60750426011,no_match
812,60750426011,spanish
813,60750426012,no_match
814,60750426021,no_match
815,60750426022,no_match
816,60750426023,cantonese
817,60750426023,no_match
818,60750427001,no_match
819,60750427002,no_match
820,60750427003,cantonese
821,60750427003,no_match
822,60750428001,no_match
823,60750428002,no_match
824,60750428003,no_match
825,60750451001,no_match
826,60750451002,no_match
827,60750451002,spanish
828,60750451003,no_match
829,60750452001,cantonese
830,60750452001,no_match
831,60750452002,no_match
832,60750452002,spanish
833,60750452003,no_match
834,60750452004,no_match
835,60750452005,no_match
836,60750476001,no_match
837,60750476002,no_match
838,60750476003,cantonese
839,60750476003,no_match
840,60750476004,no_match
841,60750477011,no_match
842,60750477012,cantonese
843,60750477012,no_match
844,60750477013,no_match
845,60750477021,no_match
846,60750477022,no_match
847,60750477023,no_match
848,60750478011,no_match
849,60750478012,cantonese
850,60750478012,no_match
851,60750478013,no_match
852,60750478021,cantonese
853,60750478021,no_match
854,60750478022,no_match
855,60750478022,spanish
856,60750478023,cantonese
857,60750478023,no_match
858,60750479011,no_match
859,60750479012,no_match
860,60750479013,cantonese
861,60750479013,no_match
862,60750479013,spanish
863,60750479014,cantonese
864,60750479014,no_match
865,60750479014,spanish
866,60750479015,no_match
867,60750479021,no_match
868,60750479022,no_match
869,60750479023,cantonese
870,60750479023,no_match
871,60750601001,no_match
872,60750604001,cantonese
873,60750604001,no_match
874,60750605021,no_match
875,60750605022,cantonese
876,60750605022,no_match
877,60750605022,spanish
878,60750605023,cantonese
879,60750605023,no_match
880,60750605023,spanish
881,60750607001,cantonese
882,60750607001,no_match
883,60750607001,spanish
884,60750607002,no_match
885,60750607003,no_match
886,60750610001,cantonese
887,60750610001,no_match
888,60750610001,spanish
889,60750610002,cantonese
890,60750610002,no_match
891,60750610002,spanish
892,60750611001,cantonese
893,60750611001,no_match
894,60750611002,cantonese
895,60750611002,no_match
896,60750611002,spanish
897,60750611003,cantonese
898,60750611003,no_match
899,60750612001,no_match
900,60750612001,spanish
901,60750612002,cantonese
902,60750612002,no_match
903,60750612002,spanish
904,60750614001,no_match
905,60750614001,spanish
906,60750614002,no_match
907,60750614003,no_match
908,60750614003,spanish
909,60750615001,no_match
910,60750615002,cantonese
911,60750615002,no_match
912,60750615003,no_match
913,60750615004,no_match
914,60750615005,spanish
915,60750615006,no_match
916,60759802001,no_match
917,60759805011,cantonese
918,60759805011,no_match
919,60759806001,no_match
920,60759806001,spanish
921,60759809001,no_match
